x,y
0.00,19.00
1.00,20.00
2.00,21.00
3.00,22.00
4.00,23.00
5.00,24.00
6.00,25.00
7.00,26.00
8.00,27.00
9.00,28.00
10.00,29.00
11.00,30.00
12.00,31.00
13.00,32.00
14.00,33.00
15.00,34.00
16.00,35.00
17.00,36.00
18.00,37.00
19.00,38.00
20.00,39.00
21.00,40.00
22.00,41.00
23.00,42.00
24.00,43.00
25.00,44.00
26.00,45.00
27.00,46.00
28.00,47.00
29.00,48.00
30.00,49.00
31.00,50.00
32.00,51.00
33.00,52.00
34.00,53.00
35.00,54.00
36.00,55.00
37.00,56.00
38.00,57.00
39.00,58.00
40.00,59.00
41.00,60.00
42.00,61.00
43.00,62.00
44.00,63.00
45.00,64.00
46.00,65.00
47.00,66.00
48.00,67.00
49.00,68.00
50.00,69.00
51.00,70.00
52.00,71.00
53.00,72.00
54.00,73.00
55.00,74.00
56.00,75.00
57.00,76.00
58.00,77.00
59.00,78.00
60.00,79.00
61.00,80.00
62.00,81.00
63.00,82.00
64.00,83.00
65.00,84.00
66.00,85.00
67.00,86.00
68.00,87.00
69.00,88.00
70.00,89.00
71.00,90.00
72.00,91.00
73.00,92.00
74.00,93.00
75.00,94.00
76.00,95.00
77.00,96.00
78.00,97.00
79.00,98.00
80.00,99.00
81.00,100.00
82.00,101.00
83.00,102.00
84.00,103.00
85.00,104.00
86.00,105.00
87.00,106.00
88.00,107.00
89.00,108.00
90.00,109.00
91.00,110.00
92.00,111.00
93.00,112.00
94.00,113.00
95.00,114.00
96.00,115.00
97.00,116.00
98.00,117.00
99.00,118.00
