x,y
0,19
1,21
2,23
3,25
4,27
5,29
6,31
7,33
8,35
9,37
10,39
11,41
12,43
13,45
14,47
15,49
16,51
17,53
18,55
19,57
20,59
21,61
22,63
23,65
24,67
25,69
26,71
27,73
28,75
29,77
30,79
31,81
32,83
33,85
34,87
35,89
36,91
37,93
38,95
39,97
40,99
41,101
42,103
43,105
44,107
45,109
46,111
47,113
48,115
49,117
50,119
51,121
52,123
53,125
54,127
55,129
56,131
57,133
58,135
59,137
60,139
61,141
62,143
63,145
64,147
65,149
66,151
67,153
68,155
69,157
70,159
71,161
72,163
73,165
74,167
75,169
76,171
77,173
78,175
79,177
80,179
81,181
82,183
83,185
84,187
85,189
86,191
87,193
88,195
89,197
90,199
91,201
92,203
93,205
94,207
95,209
96,211
97,213
98,215
99,217
