x,y
0.00,19.00
1.00,22.00
2.00,25.00
3.00,28.00
4.00,31.00
5.00,34.00
6.00,37.00
7.00,40.00
8.00,43.00
9.00,46.00
10.00,49.00
11.00,52.00
12.00,55.00
13.00,58.00
14.00,61.00
15.00,64.00
16.00,67.00
17.00,70.00
18.00,73.00
19.00,76.00
20.00,79.00
21.00,82.00
22.00,85.00
23.00,88.00
24.00,91.00
25.00,94.00
26.00,97.00
27.00,100.00
28.00,103.00
29.00,106.00
30.00,109.00
31.00,112.00
32.00,115.00
33.00,118.00
34.00,121.00
35.00,124.00
36.00,127.00
37.00,130.00
38.00,133.00
39.00,136.00
40.00,139.00
41.00,142.00
42.00,145.00
43.00,148.00
44.00,151.00
45.00,154.00
46.00,157.00
47.00,160.00
48.00,163.00
49.00,166.00
50.00,169.00
51.00,172.00
52.00,175.00
53.00,178.00
54.00,181.00
55.00,184.00
56.00,187.00
57.00,190.00
58.00,193.00
59.00,196.00
60.00,199.00
61.00,202.00
62.00,205.00
63.00,208.00
64.00,211.00
65.00,214.00
66.00,217.00
67.00,220.00
68.00,223.00
69.00,226.00
70.00,229.00
71.00,232.00
72.00,235.00
73.00,238.00
74.00,241.00
75.00,244.00
76.00,247.00
77.00,250.00
78.00,253.00
79.00,256.00
80.00,259.00
81.00,262.00
82.00,265.00
83.00,268.00
84.00,271.00
85.00,274.00
86.00,277.00
87.00,280.00
88.00,283.00
89.00,286.00
90.00,289.00
91.00,292.00
92.00,295.00
93.00,298.00
94.00,301.00
95.00,304.00
96.00,307.00
97.00,310.00
98.00,313.00
99.00,316.00
